office,StreetAddress,City,State,Postalcode,Distinguishedname
Atlanta,"2970 Clairmont Road NE, Suite 850",Brookhaven,GA,30329,"OU=Atlanta,DC=wma-arch,DC=com"
Chicago,600 W. Jackson Blvd. Suite 100,Chicago,IL,60661,"OU=Chicago-DT,DC=wma-arch,DC=com"
Oak Brook,"1315 22nd Street, Suite 410",Oak Brook,IL,60523,"OU=Chicago,DC=wma-arch,DC=com"
Denver,"1600 Champa St.
Suite 350",Denver,CO,80202,"OU=Denver,DC=wma-arch,DC=com"
Denver Civil Engineering,"990 S. Broadway
Suite 230",Denver,CO,80209,"OU=Denver-JS,DC=wma-arch,DC=com"
Downtown San Diego,"600 B Street, Suite 2070",San Diego,CA,92101,"OU=San Diego-Downtown,DC=wma-arch,DC=com"
Houston,4900 Woodway Dr. Suite 515,Houston,Tx,77056,"OU=Houston,DC=wma-arch,DC=com"
Irvine,10 Edelman,Irvine,CA,92618,"OU=Irvine,DC=wma-arch,DC=com"
Los Angeles,"915 Wilshire Blvd
Suite 2150",Los Angeles,CA,90017,"OU=LA,DC=wma-arch,DC=com"
Mexico City,"Culiacán 123, piso 11, oficina #1107",col. Hipódromo Condesa CDMX,Mexico,6170,"OU=Mexico,DC=wma-arch,DC=com"
Miami,"15150 NW 79th  Court
Suite 202",Miami Lakes,FL,33016,"OU=Miami,DC=wma-arch,DC=com"
New Jersey,"90 Woodbridge Center Drive,
Suite 320",Woodbridge,NJ,7095,"OU=New Jersey,DC=wma-arch,DC=com"
New York,"45 West 21st Street,
6th Floor",New York,NY,10010,"OU=New York,DC=wma-arch,DC=com"
Panama,"International Business Park, Building 3815 Office #204 Panama Pacifico Boulevard Avenue Howard Airforce Base",Panama City,PANAMA,,"OU=Panama,DC=wma-arch,DC=com"
Phoenix,"2777 E. Camelback Rd, Suite 325",Phoenix,AZ,85016,"OU=Phoenix,DC=wma-arch,DC=com"
Pleasanton,4683 Chabot Drive. Suite 300,Pleasanton,CA,94588,"OU=Northern California,DC=wma-arch,DC=com"
Princeton,"188 Nassau Street, 2nd Floor, Suite 1",Princeton,NJ,8542,"OU=Princeton,DC=wma-arch,DC=com"
San Diego,"3911 Sorrento Valley Blvd, Suite 120",San Diego,CA,92121,"OU=San Diego,DC=wma-arch,DC=com"
San Franciso,"360 Pine Street, 2nd Floor",San Francisco,CA,94104,"OU=San Francisco,DC=wma-arch,DC=com"
Seattle,"3015 112Th Ave NE
Suite 205",Bellevue,WA,98004,"OU=Seattle,DC=wma-arch,DC=com"
Toronto,"180 Bass Pro Mills Drive
Unit 103",Vaughan,ON,L4K 0G9,"OU=Toronto,DC=wma-arch,DC=com"
